░ъзO,╖~зO,╣яе~зы╕ъи╞╖~жW║┘(дддх),╣яе~зы╕ъи╞╖~жW║┘(н^дх),░ъе~╣q╕▄,░ъе~╢╟пu,╣яе~и╞╖~жaз},░ъд║зы╕ъдH,░ъд║нt│dдH,░ъд║╣q╕▄,░ъд║╢╟пu,░ъд║жaз},▓╬д@╜s╕╣,еDнn└ч╖~╢╡е╪,о╓ну░O┐¤,о╓нудщ┤┴
д┌жш,ифеLкў─▌е[дu│B▓z╖~,NACIONAL MINERIOS S.A.,NACIONAL MINERIOS S.A.,,,LOG CASA DE PEDRA S/N (PARTE) NONA RURAL CONGONHAS MINAS GERAIS BRAZIL,дд░ъ┐√┼Kк╤еўж│ннд╜еq,╣QнY╗Ї,07-8021111,07-8021561,░к╢пеллe┬э░╧дд┐√╕Ї1╕╣,30414175,┼K─qдз╢}▒─╗Pе[дuд╬╛P░т,,0990129
▓№─ї,иTио╣sеє╗s│y╖~,лn┤ф╜№нL▓№─їж│ннд╜еq,NANKANG TIRE NETHERLANDS B.V.,,,PARKWENG TIRE NETHERLANDS BV,лn┤ф╜№нLк╤еўж│ннд╜еq,п╬дх╢п,02-27071000,,╗Oе_елдjжw░╧дп╖R╕Ї3мq136╕╣6╝╙608л╟,11520909,│c░тбBеN▓zд╬▒qи╞ж│├Ў╜№нLбB╛є╜ж▓гл~бBиTио╣s░tеєжц╛Pд╬╛P░ткA░╚,,0990201
дще╗,ифеL╛ў▒ё╛╣иузх╡o╖~,нPнZдще╗дlд╜еq,CHROMA JAPAN CORP.,045-542-1118,045-542-1080,плй`дt┐д╛ю└╪ел┤фе_░╧╖s╛ю└╪2дBе╪2╡fжa8╕╣,нPнZ╣qдlк╤еўж│ннд╜еq,╢└┤▄й·,02-5057055,02-22983596,оч╢щ┐д(┬┬)└tдs╢m╡╪и╚мьз▐╢щ░╧╡╪и╚д@╕Ї66╕╣,09461025,╢q┤·╗Ў╛╣╛P░т,,0990223
н╗┤ф,зы╕ъ┼U░▌╖~,р▒│╨мьз▐б]н╗┤фб^ж│ннд╜еq,ETRON TECHNOLOGY (HK) LIMITED,,,,р▒│╨мьз▐к╤еўж│ннд╜еq,┐c╢W╕s,035-782345-8715,03-5632397,╖sж╦ел╖sж╦мь╛╟╢щ░╧мьз▐дн╕Їд╗╕╣,22099694,д@пызы╕ъ,,0990303
иZ╡▄,кў┐─▒▒к╤╖~,еб└M╣ъ╖~(иZ╡▄)ж│ннд╜еq,"YOUNG LING ENTERPRISE( BRUNEI) CO.,LTD",,,BRITANNIA HOUSE 22 2ND FLOOR CATOR BANDAR SERI BEGAWAN BS 8811 BRUNEI DARUSSALAM,╣┤л┬мьз▐к╤еўж│ннд╜еq,╝язgл┬,03-2220268,03-3160455,оч╢щел─кж╦░╧лnоr╕ЇдGмq222╕╣,84573516,╢R╜цбB▒▒к╤д╜еq,,0990318
еHжтжC,е╝д└├■ифеL▒M╖~бBмь╛╟д╬з▐│NкA░╚╖~,MEGA-FABS MOTION SYSTEMS LTD.,MEGA-FABS MOTION SYSTEMS LTD.,,,BLDG 7 INDUSTRIAL PARK P O BOX 540 YOKNEAM 20692 ISREAL,дW╗╚мьз▐к╤еўж│ннд╜еq,иЇе├░],04-23594510,04-23594420,╗Oдделлnд┘░╧║ымь╕Ї7╕╣,23503047,й`ж╠п┼╣B░╩▒▒ию╛╣.░и╣F┼X░╩╛╣.л╚╗sд╞╣B░╩▒▒ию╛у┼щ╕╤иMдшо╫.дu╡{.кA░╚,,0990331
кk░ъ,╣q╕гд╬иф╢g├ф│]│╞бB│n┼щзх╡o╖~,ARBOR FRANCE,ARBOR FRANCE,,,17 RUE LOUISE MICHEL 92300 LEVALLOIS PERRET FRANCE,╜Y╗Ўмьз▐к╤еўж│ннд╜еq,зїй·,02-82269396#231,02-82269398,╖sе_елддйM░╧дде┐╕Ї700╕╣10╝╙,84469443,▒qи╞дu╖~╣q╕гд╬╣q╕г╢g├ф╣sеєк║╢R╜ц,,0990407
н╗┤ф,е╝д└├■ифеL▒M╜цзх╡o╖~,д╤∙┌░ъ╗┌│╨л╪ж│ннд╜еq,SKY WEALTH INTERNATIONAL CREATION LIMITED,,,"UNITS 3306-12, 33/F, SHUI ON CENTRE, NO.6-8 HARBOUR ROAD, WANCHAI, H.K.",жa▓y║южXдu╖~к╤еўж│ннд╜еq,▒i╝w╖╙,,,╗Oе_елдддs░╧лnи╩кF╕Ї3мq61╕╣7╝╙,07147916,╢TйЎ,,0990412
н^─▌жwл╢й╘оq,╣qдl│]│╞д╬иф╣s▓╒еєзх╡o╖~,TECHMOSA INTERNATIONAL HOLDING LTD.,TECHMOSA INTERNATIONAL HOLDING LTD.,,,201 ROGERS OFFICE BUILDING EDWIN WALLACE REY DRIVE GEORGE HILL ANGUILLA.,з╙╗╖╣qдlк╤еўж│ннд╜еq,╝B│п╡·│╖,02-27822288,02-26513280,╗Oе_елдK╝w╕Їе|мqдCд╗дKл╤д@з╦д@дK╕╣е|╝╙,23295097,жU╢╡╣qдl╣s▓╒еєдзеN▓zд╬╢R╜ц╖~░╚,,0990412
н╗┤ф,ифеLе·╣qзўо╞д╬д╕еє╗s│y╖~,╖L┤╣е¤╢iе·╣qмьз▐ж│ннд╜еq,╖L┤╣е¤╢iе·╣qмьз▐ж│ннд╜еq,,,"UNIT 501-502, IC DEVELOPMENT CENTRE, NO.6 HKSP WEST AVENUE, HONG KONG SCIENCE PARK, SHATIN, HK",┤╣д╕е·╣qк╤еўж│ннд╜еq,╕н▒Gд╥,03-5783078-2216,03-5790801,╖sж╦┐дмь╛╟дu╖~╢щ░╧╖sж╦елдOжцдн╕Ї5╕╣,84149786,╡oе·дG╖е┼щ,,0990412
д┌жш,е╝д└├■ифеL▒M╖~бBмь╛╟д╬з▐│NкA░╚╖~,GEOVISION BRAZIL REPRESENTACAO E SERVICOS LTDA,GEOVISION BRAZIL REPRESENTACAO E SERVICOS LTDA,,,"SI910,9F,NO.2729 AV.BRIGADEIRO LUIZ ANTONIO AV.SAO PAULO,SP,BRAZIL",й_░╕мьз▐к╤еўж│ннд╜еq,└╣е·е┐,02-87978377,02-87978335,╗Oе_елд║┤Є░╧д║┤Є╕Їд@мq246╕╣9╝╙,16302558,╗╖║▌╝╞жь║╩▒▒иt▓╬╖~░╚,,0990422
┬─╝пи╚,е╝д└├■ифеLкў┐─ддд╢╖~,й·лфмьз▐ж│ннд╜еq,й·лфмьз▐ж│ннд╜еq,,,OFFSHORE CHAMBERS P.O.BOX217 APIA SAMOA,║√┐Qмьз▐к╤еўж│ннд╜еq,зd╖ч╢п,02-27911119#227,02-27919901,╗Oе_елд║┤Є░╧╖s┤ЄдT╕Їд@дEд╗╕╣,80272361,┬рзы╕ъдз▒▒к╤д╜еq,,0990428
н╗┤ф,зы╕ъ┼U░▌╖~,е№╗╖мьз▐б]н╗┤фб^ж│ннд╜еq,CRYSTALWISE TECHNOLOGYб]HKб^LIMITED,,,н╗┤ф╞WеJ░aез╕╓╣D302-8╕╣╢░жиддд▀2702-03л╟,е№╗╖мьз▐к╤еўж│ннд╜еq,л└╠X▒ч,037-585058,037-585177,н]о▀┐дж╦лn┬эмье_дн╕Ї8╕╣,12646223,зы╕ъ▒▒к╤,,0990503
ої░ъ,лOе■кA░╚╖~,"SHIN KONG (THAI) SECURITY INTERNATIONAL CO., LTD.","SHIN KONG (THAI) SECURITY INTERNATIONAL CO., LTD.",,,555/5 SSP TOWER 4TH FLOOR SUNKUMVIT 63 (EKAMAI) ROAD KLONGTON NUA WATTANA BANGKOK,еx╞W╖sе·лOе■к╤еўж│ннд╜еq,кLзBоp,02-27968888,02-2515-5904,╗Oе_елд║┤Є░╧жц╖R╕Ї128╕╣,12261768,лOе■╖~,,0990506
н^─▌║√и╩╕sоq,е╝д└├■ифеL▒M╜цзх╡o╖~,TOYOSHIMA CORPORATION,TOYOSHIMA CORPORATION,,,P.O.BOX 957 OFFSHORE INCORPORATIONS CENTER ROAD TOWN TORTOLA,л┼╝wмьз▐к╤еўж│ннд╜еq,│п╢i░],03-2120088,,оч╢щ┐д(┬┬)└tдs╢mе┴е═е_╕Ї1мq568╕╣,23866949,зы╕ъд╜еq,,0990506
н^─▌║√и╩╕sоq,е╝д└├■ифеL▒M╜цзх╡o╖~,HUMMINGBIRD TECHNOLOGY LIMITED.,HUMMINGBIRD TECHNOLOGY LIMITED.,,,P.O.BOX 957 OFFSHORE INCORPORATIONS CENTER ROAD TOWN TORTOLA,л┼╝wмьз▐к╤еўж│ннд╜еq,│п╢i░],03-2120088,,оч╢щ┐д(┬┬)└tдs╢mе┴е═е_╕Ї1мq568╕╣,23866949,зы╕ъд╜еq,,0990506
м№░ъ,е╝д└├■ифеLкў─▌╗sл~╗s│y╖~,к@╢Tм№░ъж│ннд╜еq,SHENMAO AMERICA INC.,,,"2156 RINGWOOD AVE, SAN JOSE CA 95131",к@╢Tмьз▐к╤еўж│ннд╜еq,зїдT╜м,03-4160177,03-4160023,оч╢щел╞[н╡░╧дu╖~дG╕Ї12-1╕╣,04789211,▓k┐№╗sл~╢R╜ц,,0990511
╝╥и╜жш┤╡,╣q╕гд╬иф╢g├ф│]│╞бB│n┼щзх╡o╖~,FAST WIND INTERNATIONAL LIMITED.,FAST WIND INTERNATIONAL LIMITED.,886-2-26518699,886-2-26510083,LEVEL 3 ALEXANDER HOUSE 35 CYBERCITY EBENE MAURITIUS.,║╙д╤мьз▐к╤еўж│ннд╜еq,│вб@╜@,02-2651-8699,02-2651-0083,╗Oе_еллn┤ф░╧жие\╕Їд@мq32╕╣6╝╙,97474067,╢iдf╢TйЎ╖~,,0990511
еvе╦└┘─ї,ифеLп╝┬┤л~╗s│y╖~,WEH TEC EMBROIDERY (PTY) LTD.,WEH TEC EMBROIDERY (PTY) LTD.,,,P O BOX 1864 MATSAPHA,лn╜n╣ъ╖~к╤еўж│ннд╜еq,▓°дх╖╢,02-25215155-6606,02-25216558,╗Oлn┐д(┬┬)дп╝w╢m╖sе╨з°╕qкL╕Їв░в▒в╡╕╣,69559487,┬╕кс╝t,,0990517
еvе╦└┘─ї,жLмV╛у▓z╖~,SMOOTH INTERNATIONAL (PTY) LTD.,SMOOTH INTERNATIONAL (PTY) LTD.,,,P O BOX 1864 MATSAPHA,лn╜n╣ъ╖~к╤еўж│ннд╜еq,▓°дх╖╢,02-25215155-6606,02-25216558,╗Oлn┐д(┬┬)дп╝w╢m╖sе╨з°╕qкL╕Їв░в▒в╡╕╣,69559487,жLкс╝t,,0990518
м№░ъ,╣q╕гд╬иф╢g├ф│]│╞н╫▓z╖~,"AVERMEDIA TECHNOLOGIES, INC.","AVERMEDIA TECHNOLOGIES, INC.",(408)942-2101,(408)240-6270,"423 Dixon Landing Road, Milpitas, CA 95035",╢ъншмьз▐к╤еўж│ннд╜еq,│внлкQ,02-22263630-6204,02-22211926,╖sе_елддйM░╧л╪д@╕Ї135╕╣,23611974,╣q╕гиt▓╬│]│╞м█├Ў▓гл~дз╛P░т╗P║√н╫,,0990519
дще╗,╣q╕гд╬иф╢g├ф│]│╞н╫▓z╖~,"AVERMEDIA TECHNOLOGIES, INC..","AVERMEDIA TECHNOLOGIES, INC..",,,кFи╩│гдdеNе╨░╧дEмqлnе|дBе╪3╡f13╕╣,╢ъншмьз▐к╤еўж│ннд╜еq,│внлкQ,02-22263630-6204,02-22211926,╖sе_елддйM░╧л╪д@╕Ї135╕╣,23611974,╣q╕гиt▓╬│]│╞м█├Ў▓гл~дз╛P░т╗P║√н╫,,0990520
н^░ъ,╣qдl│]│╞д╬иф╣s▓╒еєзх╡o╖~,SPRINGSOFT DESIGN AUTOMATION LIMITED,SPRINGSOFT DESIGN AUTOMATION LIMITED,,,"100 BROOK DRIVE, GREEN PARK, READING, RG2 6UJ, ENGLAND",лф╖╜мьз▐к╤еўж│ннд╜еq,зfнZе╨,03-5794567-217,03-579900,╖sж╦еле_б@░╧╖sж╦мь╛╟╢щ░╧╢щ░╧дG╕Їд╗вп╕╣дG╝╙,84149548,╣qдl│]нpж█░╩д╞▓гл~╕g╛P,,0990525
н╗┤ф,▓G┤╣н▒кOд╬иф▓╒еє╗s│y╖~,┤╝┬Iмьз▐ж│ннд╜еq,INFERPOINT SYSTEM LIMITED,,,ROOM 1013 10F WING ON PLAZA NO 62MODY ROAD TSIM SHA TSUI KOWLOOM,з╗┤╦е·╣qмьз▐к╤еўж│ннд╜еq,│пд╢иj,03-5976035,,╖sж╦┐д┤Єдf╢mдu╖~░╧дхд╞╕Ї24╕╣5╝╙,12947467,▒MзQ┼v▒┬┼v,,0990526
м№░ъ,╖╙й·╛╣иу╗s│y╖~,UNIVERSAL LED TECHNOLOGIES INC.,UNIVERSAL LED TECHNOLOGIES INC.,,,56-72 49TH PLACE MESPETH NY 11378 USA,д@╕р║ы▒Kдu╖~к╤еўж│ннд╜еq,йP╕U╢╢,02-22990001,,╖sе_ел╖s▓°░╧дндuдн╕Ї17╕╣,35866232,LED╖╙й·│]│╞,,0990531
м№░ъ,,╗їе·м№░ък╤еўж│ннд╜еq,╗їе·м№░ък╤еўж│ннд╜еq,,,,╗їе·╣qдlдu╖~к╤еўж│ннд╜еq,╕н▒Gд╥,02-22672000,,╗Oе_┐д(┬┬)дgл░елддеб╕Ї3мq76л╤25╕╣,34516147,,,0990602
┴·░ъ,╣q╕гд╬иф╢g├ф│]│╞бB│n┼щ╣s░т╖~,му╡╪к╤еўж│ннд╜еq,"ADVANTECH KR CO.,LTD",,,1202 ACE TECHNO TOWER 684-1 DEUNGCHON-3DONG KANGSEO KU SEOUL 157-721 KOREA,му╡╪к╤еўж│ннд╜еq,╝BзJо╢,02-2792-7818,,╗Oе_ел╖че·╕Ї26л╤20з╦1╕╣,05155853,дu╖~е╬╣q╕гд╬╣s▓╒еєдзжц╛P╢R╜ц╖~,,0990608
ийи╜┤╡,е╝д└├■ифеL▒M╜цзх╡o╖~,жwмPж│ннд╜еq,ON STAR INC.,,,60 MARKET SQUARE P.O.BOX 364 BELIZ CITY BELIZE,кя╝sмьз▐к╤еўж│ннд╜еq,┐рдх╜х,02-27204000#224,02-27576049,оч╢щел└tдs░╧лnдW╕Ї350л╤57╕╣,09497109,╢TйЎ,,0990609
д┌о│░и,о№мv│f╣Bй╙┼є╖~,NEW LUCKY LINES S.A.,NEW LUCKY LINES S.A.,507-2658303,,"BANCO GENERAL TOWER 19TH FLOOR AQUILINO DE LA GUARDIA STREET,MARBELLA PANAMA CITY REPUBLIC OF PANAMA",е┐╝wо№╣Bк╤еўж│ннд╜еq,╜▓и╣┼v,07-9697988,,░к╢пелнd╢о░╧о№├ф╕Ї31╕╣3╝╙,16467798,д@пызы╕ъ╖~,,0990609
е[о│дj,║южX░╙л~зх╡o╖~,TEST RITE INTL (CANADA) LTD.,TEST RITE INTL (CANADA) LTD.,1-905-940-8015,,2800 JOHN STREET UNIT 20 MARKHAM ONTARIO L3R0E2 CANADA,пSдOк╤еўж│ннд╜еq,зї─Rмю,02-87915888,02-87915950,╗Oе_елд║┤Є░╧╖s┤ЄдT╕Ї23╕╣6╝╙,20795246,╢iеXдf╢TйЎ,,0990615
м№░ъ,ифеLкў─▌е[дu│B▓z╖~,"ALLOY TOOL STEEL, INC.","ALLOY TOOL STEEL, INC.",(562)9218605,(562)9211926,13525 FREEWAY DR SANTA FE SPRINGS CA 90670 USA,║aншзўо╞мьз▐к╤еўж│ннд╜еq,│п┐│о╔,06-6520000,,╗Oлn┐д(┬┬)╖s└чел╖sдд╕Ї35╕╣1╝╙,84252697,┐√зўе[дuд╬╛P░т,,0990615
н╗┤ф,е╝д└├■ифеL╣qдl╣s▓╒еє╗s│y╖~,┤╢оцмьз▐б]н╗┤фб^к╤еўж│ннд╜еq,PRESCOPE TECHNOLOGIESб] HKб^ COMPANY LIMITED,,,н╗┤фдE└sмїъй╜X└Y│Є╣D37╕╣мїъй░╙╖~ддд▀Bоy11╝╙1109-1110л╟,┤╢оцмьз▐к╤еўж│ннд╜еq,д¤оц┌z,02-86658068,02-86658060,╗Oе_┐д(┬┬)╖sй▒елдд┐│╕ЇдGмqд@дEдG╕╣д@дG╝╙дзд@,86298705,LCDбBIC┤╣д∙╡ежU║╪╣qдl╣s▓╒еєдз╢R╜ц╖~░╚,,0990625
╖sе[йY,╖╙й·╛╣иу╗s│y╖~,OMNI-LED LIGHTING PTE. LTD.,OMNI-LED LIGHTING PTE. LTD.,,,180 PAYA LEBAR ROAD 05-06 YI GUANG FACTORY BUILDING SINGAPORE 409032,д@╕р║ы▒Kдu╖~к╤еўж│ннд╜еq,йP╕U╢╢,02-22990001,,╖sе_ел╖s▓°░╧дндuдн╕Ї17╕╣,35866232,LED ╖╙й·▓гл~╛P░т,,0990701
д┌жш,╣qдl│]│╞д╬иф╣s▓╒еєзх╡o╖~,BRATEK ELETRONICS LTDA,BRATEK ELETRONICS LTDA,,,RUA JOSE MARIA LISBOA 71 SALA 05 JARDIM PAULISTA SAO PAULO SP CEP 01423-000,д╤├vмьз▐к╤еўж│ннд╜еq,│по╢е╨,03-5678138#301,03-5678569,╖sж╦ел╖sж╦мь╛╟дu╖~╢щ░╧╖sж╦┐д│╨╖sд@╕Їдндзд@╕╣дT╝╙,16253228,╢R╜цд╬╢iеX╣qдl▓гл~д╬ифм█├Ўк■─▌▓гл~,,0990702
н╗┤ф,зы╕ъ┼U░▌╖~,SINACTб]HONG KONGб^INTERNATIONAL COMPANY LIMITED,SINACTб]HONG KONGб^INTERNATIONAL COMPANY LIMITED,,,UNIT C 12/F GO-UP COMMERCIAL BUILDING 998 CANTON ROAD KL,лHи╣╣qдlк╤еўж│ннд╜еq,д¤▓╨╖s,02-26985760,02-26981548,н]о▀┐дн]о▀ел░ъ╡╪╕Ї582╕╣,23542766,зы╕ъ▒▒к╤,,0990706
дще╗,╣qдl│]│╞д╬иф╣s▓╒еєзх╡o╖~,дддщ╖s(дще╗)ошжб╖|к└,STC JAPAN CORPORATION,,,SHIN OSAKA NISHIURA BLDG 4F 2 7 38 NISHIMIYAHARA YODOGAWA KU OSAKA JAPAN,дддщ╖sмьз▐к╤еўж│ннд╜еq,┴┬║a┼у,07-3606789-170,07-3606600,░к╢пел(┬┬)╖г▒ъе[дuеXдf░╧╖s╕gд@╕Їд@вп╕╣,16833367,╣qдl▓гл~д╬еb╛╔┼щ╗s│y╕╒┼чд╬╛P░т,,0990707
н^─▌╢}░╥╕sоq,е╝д└├■ифеL╣qдl╣s▓╒еє╗s│y╖~,з╗┤╝ж│ннд╜еq,ALPHA WISDOM LIMITED,,,SCOTIA CENTRE 4TH FLOOR P O BOX 2804 GEORGE TOWN GRAND GAYMAN KY1-1112 GAYMAN ISLANDS,┴p╡╪╣qдlк╤еўж│ннд╜еq,мx╣┼┴o,02-26589168,02-26575299,╖sж╦елкFб@░╧╖sж╦мь╛╟дu╖~╢щ░╧дOжцдG╕Ї3╕╣,47217677,зы╕ъи╞╖~,,0990707
н╗┤ф,кў┐─▒▒к╤╖~,└uмfб]н╗┤фб^ж│ннд╜еq,EUPA (HONG KONG) LIMITED,,,FLAT/RM B2 14/F CHAIWAN IND CENTRE 20 LEE CHUNG ST CHAI WAN,└щмP║Ї│qк╤еўж│ннд╜еq,╖идхк┌,02-8712-6660#214,02-8712-6670,╗Oе_елд║┤Є░╧│Ў│╗дj╣D1мq333╕╣6╝╙,28986660,▒▒к╤,,0990709
е[о│дj,╣qж└╗s│y╖~,DELAWARE POWER SYSTEMS CORP.,DELAWARE POWER SYSTEMS CORP.,,,12280 HORSESHOE WAY RICHMOND BC V7A 4ZI,е▀╝w╣qдlк╤еўж│ннд╜еq,кL║╤м├,02-29170252-240,02-29126336,╗Oе_┐д(┬┬)─_┐│╕ЇдKдCл╤дGж▄е|╕╣д@╝╙,38019280,╣q░╩ио╜°╣qж└▓╒╕╦д╬╛P░т,,0990709
н^─▌╢}░╥╕sоq,кў┐─▒▒к╤╖~,GAMANIA HOLDINGS  LTD.,GAMANIA HOLDINGS  LTD.,,,P O BOX 30592 SMB CAYSIDE 2ND FLOOR HARBOUR DRIVE GRAND CAYMAN CAYMAN ISLANDS.,╣C└╕╛ядl╝╞жьмьз▐к╤еўж│ннд╜еq,╝Bмf╢щ,02-27578888#67365,02-2725-1490,╗Oе_елд║┤Є░╧╖ч┤Є╡є111╕╣,89550029,зы╕ъ▒▒к╤,,0990709
┬─╝пи╚,кў┐─▒▒к╤╖~,"ASIA GLOBAL VENTURE CAPITAL II CO., LTD.","ASIA GLOBAL VENTURE CAPITAL II CO., LTD.",,,"TRUSTNET CHAMBERS,LOTEMAU CENTRE, P.O.BOX 1225 APIA  SAMOA",еx╞WнfдA▓mдu╖~к╤еўж│ннд╜еq,┤┐лTй·,02-7520700,,╗Oе_ел┤░д╞лn╕ЇдT╕╣дK╝╙,20844865,зы╕ъ,,0990715
н╗┤ф,ифеLе·╣qзўо╞д╬д╕еє╗s│y╖~,╗їе·╣qдlб]н╗┤фб^ж│ннд╜еq,"EVLITE ELECTRONICS CO., LIMITED",,,,╗їе·╣qдlдu╖~к╤еўж│ннд╜еq,╕н▒Gд╥,02-22672000,,╗Oе_┐д(┬┬)дgл░елддеб╕Ї3мq76л╤25╕╣,34516147,╛P░т╡oе·дG╖е┼щ╡е,,0990715
╖sе[йY,е╝д└├■ифеL╣qдl╣s▓╒еє╗s│y╖~,JAUCH & SIWARD HOLDING PTE. LTD.,JAUCH & SIWARD HOLDING PTE. LTD.,,,10 UBI CRESCENT 07-66 UBI TECHPARK SINGAPORE 408564,з╞╡╪┤╣┼щмьз▐к╤еўж│ннд╜еq,┤┐┐o░є,04-5347909#1250,04-25337396,╗Oдд┐д(┬┬)╝ц┤I╕ЇдGмqдKд@л╤дQдн╕╣,22771229,▒▒к╤д╜еq,,0990716
╖sе[йY,кў┐─▒▒к╤╖~,╢й╣F╣qдl(╖sе[йY)ж│ннд╜еq,LEXTARб]SINGAPOREб^PTE. LTD.,03-5658800#1809,03-5638319,"6 TEMASEK BOULEVARD #09-05 SUNTECT TOWER FOUR, SINGAPORE (038986)",╢й╣F╣qдlк╤еўж│ннд╜еq,─м?е┐,03-5008800,03-5638319,╖sж╦елкFб@░╧дu╖~кFдT╕Ї3╕╣,28112694,зы╕ъ,,0990719
н╗┤ф,╖╙й·╛╣иу╗s│y╖~,╖s▒jе·╣qб]╢░╣╬б^ж│ннд╜еq,"NEOPAC LIGHTING, LIMITED",,,,и╚к┐мьз▐к╤еўж│ннд╜еq,╜▓зBйy,0287525858,2786-5257,╗Oе_елд║┤Є░╧мwдl╡є58╕╣7╝╙,22033899,LED╖╙й·│]│╞,,0990728
дще╗,╣q╕▄д╬дт╛ў╗s│y╖~,WAH LEE JAPAN CORPORATION,WAH LEE JAPAN CORPORATION,,,4F KYOBASHI 3 CHOME BLDG3 1 3 KYOBASHI CHUO KU,╡╪з╗╖sз▐к╤еўж│ннд╜еq,▒i╖ч┤▄,07-2164311,07-2725732,░к╢пелдде┐е|╕Ї235╕╣11╝╙дз6д╬7л╟,83428825,жXжи╛Ёп╫бBдu╖~е╬╢ь╜жбBм┴╝■┼╓║√бBлD┼Kкў─▌бB╝╥иу╛ў╛╣│]│╞бB╣qдl╛ў╛╣│╞бB┐ьд╜л╟ж█░╩д╞│]│╞бBе·╛╟╛ў▒ё│]│╞бB╣qж└бB▓г╖~е╬╣qоЁ╛ў│]│╞д╬╣sеє╡едз╢iеXдf╢TйЎ,,0990729
кk░ъ,╣q╕г│n┼щ│]нp╖~,MANTANO,MANTANO,+33960026265,+33140170914,"25 boulevard des Italiens, 75002 Paris, France",о╢┬`мьз▐к╤еўж│ннд╜еq,зfлT╝w,03-6006066-6313,03-6006067,╖sж╦┐дж╦е_ел│╒╖R╡є945╕╣,16084080,│]нpд╬╛P░т╣qдl▓гл~д╬│n┼щ,,0990730
н╗┤ф,кў┐─▒▒к╤╖~,└Ї╕█мьз▐ж│ннд╜еq,USI ENTERPRISE LTD.,,,,└Ї╢й╣qоЁк╤еўж│ннд╜еq,▒iмxе╗,049-350876#2048,049-391272,лnзы┐дпєд┘┬эд╙ен╕Їд@мqдTднд@л╤д@е|д@╕╣,61781463,зы╕ъ▒▒к╤,,0990803
дще╗,╣qдl│]│╞д╬иф╣s▓╒еєзх╡o╖~,дj┤╝мьз▐ошжб╖|к└,"TA-I TECHNOLOGY CO., LTD.",,,кFи╩│гдdеNе╨░╧пле╨жh╦mдGдBе╪8╡fжa8дЇ│е5╝╙,дj╝▌мьз▐к╤еўж│ннд╜еq,ж┐░]─_,03-3246169,03-3247410,оч╢щ┐д(┬┬)─кж╦╢mлnдs╕Ї2мq470л╤26╕╣1╝╙,23534301,зы╕ъ▒▒к╤,,0990804
м№░ъ,ифеLе·╛╟╗Ў╛╣д╬│]│╞╗s│y╖~,к░┼sе·╛╟мьз▐д╜еq,"THIN-TECH LENS TECHNOLOGIES,INC",,,681 ATALANTIC BLVD ATLANTIC BEACH FLORIDA 32233 USA,─_зQ▒tе·╛╟мьз▐к╤еўж│ннд╜еq,з║д@╖s,033853934,02-25702377,оч╢щелдj╢щ░╧│\нэ┤ф29-32╕╣,84449952,е·╛╟├шд∙╛P░тбBе[дuбBз▐│N▒┬┼v,,0990811
┬─╝пи╚,,"╣яе~зы╕ъ┬─╝пи╚E-PROCONN INTERNATIONAL CO., LTDе╙╜╨","E-PROCONN INTERNATIONAL CO., LTD",04-23598668-291,04-36016658,,ж╩оe╣qдlк╤еўж│ннд╜еq,╣∙е╗кL,04-23598668,04-36016658,╗Oдделдu╖~░╧25╕Ї20╕╣,52753108,зы╕ъ▒▒к╤,,0990824
дще╗,╕ъо╞└xжs┤C┼щ╗s│y╖~,йy╣йдще╗ошжб╖|к└,INNODISK JAPAN COPRORATION,,,кFи╩│гддеб░╧дще╗╛ЇдHжц╦mдGдBе╪дT╡f5╕╣,йy╣й░ъ╗┌к╤еўж│ннд╜еq,зї─┴лG,02-7703-3000,,╖sе_елж┴дю░╧дjжP╕Їд@мq237╕╣5╝╙,27565769,Flashд╬Dram└xжs┤C┼щ▓гл~дзел│їжц╛PбB╛P░тбBз▐│Nдф┤й╡е╖~░╚,,0990826
н╗┤ф,ифеLе·╛╟╗Ў╛╣д╬│]│╞╗s│y╖~,JCD OPTICAL CORPORATION LIMITED,JCD OPTICAL CORPORATION LIMITED,,,"ROOM 1902,NAN FUNG CENTER,264-298CASTLE CASTLE PEAK ROAD, TSUEN WAN, NEW TERRITORIES.",дх╛чмьз▐к╤еўж│ннд╜еq,╛Gдхйv,02-82269088#8746,02-82269322,╖sе_елддйM░╧дде┐╕Ї738╕╣14╝╙,84498860,е·╡╪▓гл~│]нpд╬╛P░т,,0990827
н╗┤ф,,╣ян╗┤фзы╕ъNAVITASYS TECHNOLOGY LIMITEDе╙╜╨,NAVITASYS TECHNOLOGY LIMITED,,,,жш│╙░ъ╗┌к╤еўж│ннд╜еq,╢└йv░╢,02-29016600-213,02-29047699,╖sе_ел╖s▓°░╧дде┐╕Ї663бB665╕╣дн╝╙,96969724,╣qж└╝╥▓╒▓╒╕╦,,0990827
жLл╫,,POSIFLEX TECHNOLOGY (INDIA) PRIVATE LIMITED.,POSIFLEX TECHNOLOGY (INDIA) PRIVATE LIMITED.,,,"No985, 4th cross,1st a main road, near mahalaksh saw mill, bda park, new tippasandra, bangalore-5600",о╢╛ь╣qдlк╤еўж│ннд╜еq,│пнZкQ,02-22991599,02-22991819,╖sе_елднк╤░╧┐│м├и╜дн┼v╕Ї6╕╣,12514341,╣qдlжм╗╚╛ўд╬╢g├ф│]│╞дз╖~░╚,,0990831
